code,label,datatype,mandatory,standard
E3-3_04,E3,string,True,ESRS E3
E3-3_05,E3,string,True,ESRS E3
E3-3_06,E3,string,True,ESRS E3
E3-3_07,E3,string,True,ESRS E3
E3-3_08,E3,string,True,ESRS E3
E3-3_09,E3,string,True,ESRS E3
E3-3_10,E3,string,True,ESRS E3
E3.MDR-T_14-19,ESRS 2,string,True,ESRS E3
E3-4_01,E3,string,True,ESRS E3
E3-4_02,E3,string,True,ESRS E3
E3-4_03,E3,string,True,ESRS E3
E3-4_04,E3,string,True,ESRS E3
E3-4_05,E3,string,True,ESRS E3
E3-4_06,E3,string,True,ESRS E3
E3-4_07,E3,string,True,ESRS E3
E3-4_08,E3,string,True,ESRS E3
E3-4_09,E3,string,True,ESRS E3
E3-4_10,E3,string,True,ESRS E3
E3-4_11,E3,string,True,ESRS E3
E3-4_12,E3,string,True,ESRS E3
E3-5_01,E3,string,True,ESRS E3
E3-5_02,E3,string,True,ESRS E3
E3-5_03,E3,string,True,ESRS E3
E3-5_04,E3,string,True,ESRS E3
E3-5_05,E3,string,True,ESRS E3
E3-5_06,E3,string,True,ESRS E3
E4.SBM-3_01,E4,string,True,ESRS E4
E4.SBM-3_02,E4,string,True,ESRS E4
E4.SBM-3_03,E4,string,True,ESRS E4
E4.SBM-3_04,E4,string,True,ESRS E4
E4.SBM-3_05,E4,string,True,ESRS E4
E4.SBM-3_06,E4,string,True,ESRS E4
E4.IRO-1_01,E4,string,True,ESRS E4
E4.IRO-1_02,E4,string,True,ESRS E4
E4.IRO-1_03,E4,string,True,ESRS E4
E4.IRO-1_04,E4,string,True,ESRS E4
E4.IRO-1_05,E4,string,True,ESRS E4
E4.IRO-1_06,E4,string,True,ESRS E4
E4.IRO-1_07,E4,string,True,ESRS E4
E4.IRO-1_08,E4,string,True,ESRS E4
E4.IRO-1_09,E4,string,True,ESRS E4
E4.IRO-1_10,E4,string,True,ESRS E4
E4.IRO-1_11,E4,string,True,ESRS E4
E4.IRO-1_12,E4,string,True,ESRS E4
E4.IRO-1_13,E4,string,True,ESRS E4
E4.IRO-1_14,E4,string,True,ESRS E4
E4.IRO-1_15,E4,string,True,ESRS E4
E4.IRO-1_16,E4,string,True,ESRS E4
E4-1_01,E4,string,True,ESRS E4
E4-1_02,E4,string,True,ESRS E4
E4-1_03,E4,string,True,ESRS E4
E4-1_04,E4,string,True,ESRS E4
E4-1_05,E4,string,True,ESRS E4
E4-1_06,E4,string,True,ESRS E4
E4-1_07,E4,string,True,ESRS E4
E4-1_08,E4,string,True,ESRS E4
E4-1_09,E4,string,True,ESRS E4
E4-1_10,E4,string,True,ESRS E4
E4-1_11,E4,string,True,ESRS E4
E4-1_12,E4,string,True,ESRS E4
E4-1_13,E4,string,True,ESRS E4
E4-1_14,E4,string,True,ESRS E4
E4-1_15,E4,string,True,ESRS E4
E4-1_16,E4,string,True,ESRS E4
E4-1_17,E4,string,True,ESRS E4
E4-1_18,E4,string,True,ESRS E4
E4.MDR-P_01-06,E4,string,True,ESRS E4
E4-2_01,E4,string,True,ESRS E4
E4-2_02,E4,string,True,ESRS E4
E4-2_03,E4,string,True,ESRS E4
E4-2_04,E4,string,True,ESRS E4
E4-2_05,E4,string,True,ESRS E4
E4-2_06,E4,string,True,ESRS E4
E4-2_07,E4,string,True,ESRS E4
E4-2_08,E4,string,True,ESRS E4
E4-2_09,E4,string,True,ESRS E4
E4-2_10,E4,string,True,ESRS E4
E4-2_11,E4,string,True,ESRS E4
E4-2_12,E4,string,True,ESRS E4
E4-2_13,E4,string,True,ESRS E4
E4-2_14,E4,string,True,ESRS E4
E4-2_15,E4,string,True,ESRS E4
E4-2_16,E4,string,True,ESRS E4
E4-2_17,E4,string,True,ESRS E4
E4-2_18,E4,string,True,ESRS E4
E4-2_19,E4,string,True,ESRS E4
E4-2_20,E4,string,True,ESRS E4
E4.MDR-P_07-08,ESRS 2,string,True,ESRS E4
